Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Boys to Girls Ratio
2020,43710,2031,Trinity Grammar School,Summer Hill,NSW,2130,Independent,Combined,School Head Campus,Rolled Reporting,http://www.trinity.nsw.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1163,97,1,5,22,71,231,221.3,160,123.6,2159,0,2159,2158,0,53,40,8,1
2020,45848,16108,St Kevin's College,Toorak,VIC,3142,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.stkevins.vic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,Prep-12,Major Cities,1177,98,1,4,18,77,228,189.7,129,94.1,2099,0,2099,2099,1,5,95,0,1
2020,43877,1472,Newington College,Stanmore,NSW,2048,Independent,Combined,School Head Campus,Rolled Reporting,https://www.newington.nsw.edu.au/,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1138,94,2,11,28,58,188,177.6,110,99.9,2018,0,2018,2018,0,20,72,8,1
2020,43821,2029,The Scots College,Bellevue Hill,NSW,2023,Independent,Combined,School Head Campus,Rolled Reporting,http://www.tsc.nsw.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1110,88,4,16,35,46,222,211.8,140,119.6,1988,0,1988,1988,1,17,77,6,1
2020,47855,15653,St Laurence's College,South Brisbane,QLD,4101,Catholic,Combined,School Single Entity,Individual Reporting,http://www.slc.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1108,87,5,16,30,49,150,147.6,91,75.1,1942,0,1942,1942,2,24,76,0,1
2020,45629,14105,Parade College,Bundoora,VIC,3083,Catholic,Secondary,School Head Campus,Rolled Reporting,http://www.parade.vic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,7-Dec,Major Cities,1063,74,11,28,34,27,183,166.5,77,64.4,1937,0,1937,1937,1,23,77,0,1
2020,43785,2021,Sydney Grammar School,Darlinghurst,NSW,2010,Independent,Combined,School Head Campus,Rolled Reporting,http://www.sydgram.nsw.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1278,99,0,0,2,97,272,205.3,97,86.9,1886,0,1886,1886,0,25,51,24,1
2020,46172,1266,Scotch College,Hawthorn,VIC,3122,Independent,Combined,School Single Entity,Individual Reporting,http://www.scotch.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1191,99,0,2,13,84,204,198.7,134,115.9,1879,0,1879,1879,1,27,73,0,1
2020,45853,14099,St Joseph's College Geelong,Newtown,VIC,3220,Catholic,Secondary,School Head Campus,Rolled Reporting,http://www.sjc.vic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,7-Dec,Major Cities,1066,76,10,27,34,29,160,144.5,96,73.4,1846,0,1846,1844.6,1,13,87,0,1
2020,43883,2027,The King's School,North Parramatta,NSW,2151,Independent,Combined,School Single Entity,Individual Reporting,http://www.kings.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1159,97,1,7,24,69,183,174.3,151,132.1,1824,0,1824,1824,0,25,49,26,1
2020,47996,430,Anglican Church Grammar School,East Brisbane,QLD,4169,Independent,Combined,School Single Entity,Individual Reporting,http://www.churchie.com.au/,Anglican School Commission Queensland,https://www.ascqld.org.au,Prep-12,Major Cities,1167,98,1,5,21,72,165,161.4,116,82.9,1815,0,1815,1815,1,9,91,0,1
2020,48033,418,Brisbane Grammar School,Brisbane,QLD,4000,Independent,Combined,School Single Entity,Individual Reporting,http://www.brisbanegrammar.com,Independent Schools Queensland,https://www.isq.qld.edu.au/,5-Dec,Major Cities,1208,99,0,2,10,88,170,153.8,112,94.3,1764,0,1764,1764,1,20,80,0,1
2020,47849,17236,Iona College,Lindum,QLD,4178,Catholic,Combined,School Single Entity,Individual Reporting,https://www.iona.qld.edu.au/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1088,82,5,22,35,37,133,122.4,82,68.1,1722,0,1722,1722,2,8,92,0,1
2020,47854,15651,St Joseph's College,Brisbane,QLD,4000,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.terrace.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1176,98,1,4,19,77,142,125.7,93,83.2,1696,0,1696,1696,1,19,81,0,1
2020,47879,15652,St Joseph's Nudgee College,Boondall,QLD,4034,Catholic,Combined,School Single Entity,Individual Reporting,http://www.nudgee.com,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1100,85,5,17,33,46,138,136.5,109,91.6,1682,0,1682,1682,3,21,79,0,1
2020,47856,17241,Marist College Ashgrove,Ashgrove,QLD,4060,Catholic,Combined,School Single Entity,Individual Reporting,http://www.marash.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1142,94,1,9,27,63,129,122,116,104.7,1670,0,1670,1669.2,2,8,92,0,1
2020,49018,68,Christ Church Grammar School,Claremont,WA,6010,Independent,Combined,School Single Entity,Individual Reporting,http://www.ccgs.wa.edu.au,Association of Independent Schools of WA,https://www.ais.wa.edu.au/,PP-12,Major Cities,1180,99,1,4,16,79,184,158.9,120,105.4,1654,0,1654,1654,1,19,77,4,1
2020,40333,2067,Marist College Canberra,Pearce,ACT,2607,Independent,Combined,School Single Entity,Individual Reporting,http://www.maristc.act.edu.au,"Catholic Education, Archdiocese of Canberra and Goulburn",https://cg.catholic.edu.au/,4-Dec,Major Cities,1131,92,2,10,31,58,127,122.2,61,51.9,1653,0,1653,1652.5,1,8,92,0,1
2020,48003,731,The Southport School,Southport,QLD,4215,Independent,Combined,School Single Entity,Individual Reporting,https://www.tss.qld.edu.au/,Anglican School Commission Queensland,https://www.ascqld.org.au,Prep-12,Major Cities,1112,88,3,12,33,52,132,127.5,108,88.3,1603,0,1603,1603,2,16,82,2,1
2020,49030,84,Hale School,Wembley Downs,WA,6019,Independent,Combined,School Single Entity,Individual Reporting,http://www.hale.wa.edu.au,Association of Independent Schools of WA,https://www.ais.wa.edu.au/,PP-12,Major Cities,1164,97,2,6,21,71,166,161.5,99,88.9,1594,0,1594,1594,2,17,23,60,1
2020,43668,1663,St Ignatius' College,Lane Cove,NSW,2066,Independent,Combined,School Head Campus,Rolled Reporting,http://www.riverview.nsw.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,5-Dec,Major Cities,1165,97,1,4,19,75,186,173.1,121,101.8,1571,0,1571,1571,2,8,92,0,1
2020,45855,15688,St Bede's College,Mentone,VIC,3194,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.stbedes.catholic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,7-Dec,Major Cities,1096,84,4,19,37,39,130,120.6,55,41.5,1566,0,1566,1566,0,8,92,0,1
2020,43969,1361,Cranbrook School,Bellevue Hill,NSW,2023,Independent,Combined,School Head Campus,Rolled Reporting,http://www.cranbrook.nsw.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1183,99,0,3,18,78,162,151.9,119,95.8,1541,0,1541,1541,0,24,76,0,1
2020,45864,13638,St Bernard's College,Essendon,VIC,3040,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.sbc.vic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,7-Dec,Major Cities,1082,80,6,23,37,34,131,119.2,65,56,1532,0,1532,1532,0,7,93,0,1
2020,49813,252,St Peter's College,St Peters,SA,5069,Independent,Combined,School Single Entity,Individual Reporting,http://www.stpeters.sa.edu.au,Association of Independent Schools of SA,https://www.ais.sa.edu.au/,R-12,Major Cities,1153,96,2,7,21,69,150,141,124,89.7,1489,0,1489,1488.5,0,11,89,1,1
2020,46156,1288,Trinity Grammar School Kew,Kew,VIC,3101,Independent,Combined,School Single Entity,Individual Reporting,http://www.trinity.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1182,99,1,3,17,79,156,144.3,110,97.8,1478,0,1478,1478,0,33,67,0,1
2020,43666,2039,Waverley College,Waverley,NSW,2024,Independent,Combined,School Head Campus,Rolled Reporting,http://www.waverley.nsw.edu.au/public/index.cfm,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,5-Dec,Major Cities,1122,90,2,13,31,53,124,115.9,58,50.5,1450,0,1450,1450,1,4,96,0,1
2020,43662,1900,"St Patrick's College, Strathfield",Strathfield,NSW,2135,Independent,Combined,School Single Entity,Individual Reporting,http://www.spc.nsw.edu.au/,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,5-Dec,Major Cities,1127,92,3,11,31,55,115,108.2,42,36.1,1447,0,1447,1447,0,43,56,1,1
2020,45996,16398,Mazenod College,Mulgrave,VIC,3170,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.mazenod.vic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,7-Dec,Major Cities,1076,79,11,21,35,33,129,114.1,74,54.1,1442,0,1442,1442,0,50,50,0,1
2020,48011,416,Brisbane Boys' College,Toowong,QLD,4066,Independent,Combined,School Single Entity,Individual Reporting,https://www.bbc.qld.edu.au/,Independent Schools Queensland,https://www.isq.qld.edu.au/,Prep-12,Major Cities,1159,97,1,5,21,73,138,127.7,111,91.1,1441,0,1441,1440,1,20,80,0,1
2020,45874,15687,Marcellin College,Bulleen,VIC,3105,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.marcellin.vic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,7-Dec,Major Cities,1098,85,5,19,34,42,139,130.3,68,59.1,1420,0,1420,1420,0,5,95,0,1
2020,43671,1582,St Augustine's College Sydney,Brookvale,NSW,2100,Independent,Combined,School Single Entity,Individual Reporting,http://www.saintaug.nsw.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,5-Dec,Major Cities,1128,92,2,11,31,56,120,115.9,61,46.5,1418,0,1418,1417.4,1,14,86,0,1
2020,47857,15654,St Patrick's College,Shorncliffe,QLD,4017,Catholic,Combined,School Single Entity,Individual Reporting,http://www.stpatricks.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1078,79,6,25,37,31,96,93.9,82,75.4,1416,0,1416,1416,1,22,78,0,1
2020,47851,17216,Padua College,Kedron,QLD,4031,Catholic,Combined,School Single Entity,Individual Reporting,http://www.padua.qld.edu.au/,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,5-Dec,Major Cities,1104,86,3,19,36,42,117,108,60,54.4,1410,0,1410,1410,1,6,94,0,1
2020,49028,234,Scotch College,Swanbourne,WA,6010,Independent,Combined,School Single Entity,Individual Reporting,http://www.scotch.wa.edu.au,Association of Independent Schools of WA,https://www.ais.wa.edu.au/,PP-12,Major Cities,1168,98,1,4,18,77,158,140.5,126,93.1,1360,0,1360,1360,3,15,85,0,1
2020,45423,8508,Melbourne High School,South Yarra,VIC,3141,Government,Secondary,School Head Campus,Rolled Reporting,http://www.mhs.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,9-Dec,Major Cities,1166,98,4,8,19,69,105,92.8,33,25.4,1359,0,1359,1357.8,0,86,14,0,1
