Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name
2020,40000,3,Corpus Christi Catholic School,BELLERIVE,TAS,7018,Catholic,Primary,School Single Entity,Individual Reporting,-42.871256,147.371473,1,Inner Regional,60032390000,60102100410,601021004,Bellerive - Rosny,60102,Hobart - North East,601,Hobart,61410,Clarence (C)
2020,40001,4,Fahan School,SANDY BAY,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,-42.91615827,147.3527644,1,Inner Regional,60105761500,60105103105,601051031,Sandy Bay,60105,Hobart Inner,601,Hobart,62810,Hobart (C)
2020,40002,5,Geneva Christian College,LATROBE,TAS,7307,Independent,Combined,School Single Entity,Individual Reporting,-41.226741,146.438726,2,Outer Regional,60078690000,60402108720,604021087,Latrobe,60402,Devonport,604,West and North West,63810,Latrobe (M) (Tas.)
2020,40003,7,Holy Rosary Catholic School,CLAREMONT,TAS,7011,Catholic,Primary,School Single Entity,Individual Reporting,-42.789375,147.248306,1,Inner Regional,60050000000,60103101510,601031015,Claremont (Tas.),60103,Hobart - North West,601,Hobart,62610,Glenorchy (C)
2020,40004,9,Immaculate Heart of Mary Catholic School,LENAH VALLEY,TAS,7008,Catholic,Primary,School Single Entity,Individual Reporting,-42.865543,147.290159,1,Inner Regional,60058010000,60105102812,601051028,Lenah Valley - Mount Stuart,60105,Hobart Inner,601,Hobart,62810,Hobart (C)
2020,40005,10,John Calvin School,LAUNCESTON,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,-41.447919,147.144799,1,Inner Regional,60080780000,60201104710,602011047,South Launceston,60201,Launceston,602,Launceston and North East,64010,Launceston (C)
2020,40006,11,Larmenier Catholic School,ST LEONARDS,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,-41.460784,147.194752,1,Inner Regional,60083570000,60201105004,602011050,Waverley - St Leonards,60201,Launceston,602,Launceston and North East,64010,Launceston (C)
2020,40007,12,Launceston Church Grammar School,MOWBRAY,TAS,7248,Independent,Secondary,School Head Campus,Rolled Reporting,-41.408156,147.128813,1,Inner Regional,60087010000,60201104001,602011040,Mowbray,60201,Launceston,602,Launceston and North East,64010,Launceston (C)
2020,40008,13,St James Catholic College,CYGNET,TAS,7112,Catholic,Combined,School Single Entity,Individual Reporting,-43.161812,147.075798,2,Outer Regional,60064650000,60302107002,603021070,Cygnet,60302,Huon - Bruny Island,603,South East,63010,Huon Valley (M)
2020,40009,18,Our Lady of Lourdes Catholic School,DEVONPORT,TAS,7310,Catholic,Primary,School Single Entity,Individual Reporting,-41.18021,146.355196,1,Inner Regional,60040710000,60402108502,604021085,Devonport,60402,Devonport,604,West and North West,61610,Devonport (C)
