Year,School Name,Suburb,Sector,Type,Latitude,Longitude,Remoteness,Remoteness Category,LGA
2020,Kurnai College - University Campus,CHURCHILL,Government,Secondary,-38.30939,146.424883,1,Inner Regional,Latrobe (C) (Vic.)
2020,Learning Co-Operative School,HURSTBRIDGE,Independent,Primary,-37.62939233,145.2133347,0,Major Cities,Nillumbik (S)
2020,Andale School,KEW,Independent,Combined,-37.805513,145.036044,0,Major Cities,Boroondara (C)
2020,The Currajong School,MALVERN EAST,Independent,Combined,-37.875953,145.059946,0,Major Cities,Stonnington (C)
2020,Mansfield Autism Statewide Services,MANSFIELD,Independent,Combined,-37.060799,146.085858,2,Outer Regional,Mansfield (S)
2020,Rossbourne School,HAWTHORN,Independent,Secondary,-37.82304,145.02655,0,Major Cities,Boroondara (C)
2020,St Paul's College,BALWYN,Independent,Combined,-37.812213,145.086665,0,Major Cities,Boroondara (C)
2020,Catholic Regional College Sydenham,SYDENHAM,Catholic,Secondary,-37.699136,144.771012,0,Major Cities,Brimbank (C)
2020,Catherine McAuley College,BENDIGO,Catholic,Secondary,-36.753444,144.273362,1,Inner Regional,Greater Bendigo (C)
2020,Williamstown High School,WILLIAMSTOWN,Government,Secondary,-37.862753,144.895131,0,Major Cities,Hobsons Bay (C)
2020,Wodonga Senior Secondary College,WODONGA,Government,Secondary,-36.12745035,146.8802276,1,Inner Regional,Wodonga (C)
2020,Swinburne Senior Secondary College,HAWTHORN,Government,Secondary,-37.823135,145.040821,0,Major Cities,Boroondara (C)
2020,Essendon Keilor College-Senior Campus,ESSENDON,Government,Secondary,-37.755219,144.901945,0,Major Cities,Moonee Valley (C)
2020,Echuca College,ECHUCA,Government,Secondary,-36.132394,144.732423,1,Inner Regional,Campaspe (S)
2020,Blackburn English Language School,BURWOOD EAST,Government,Combined,-37.847889,145.148292,0,Major Cities,Whitehorse (C)
2020,Penshurst Primary School,PENSHURST,Government,Primary,-37.87947471,142.2909686,2,Outer Regional,Southern Grampians (S)
2020,Mildura Senior College,MILDURA,Government,Secondary,-34.19800387,142.1453901,2,Outer Regional,Mildura (RC)
2020,Bendigo Senior Secondary College,BENDIGO,Government,Secondary,-36.7551,144.279586,1,Inner Regional,Greater Bendigo (C)
2020,Myrtleford P-12 College,MYRTLEFORD,Government,Combined,-36.54888702,146.7261447,1,Inner Regional,Alpine (S)
2020,Traralgon College,TRARALGON,Government,Secondary,-38.19142459,146.5194895,1,Inner Regional,Latrobe (C) (Vic.)
2020,Perseverance Primary School,FRENCH ISLAND,Government,Primary,-38.38337735,145.3334052,2,Outer Regional,Unincorporated Vic
2020,Wonthaggi Secondary College,WONTHAGGI,Government,Secondary,-38.609807,145.597177,1,Inner Regional,Bass Coast (S)
2020,St Monica's College,EPPING,Catholic,Secondary,-37.655706,145.032058,0,Major Cities,Whittlesea (C)
2020,Sandringham College,SANDRINGHAM,Government,Secondary,-37.9566838,145.0233484,0,Major Cities,Bayside (C)
