LGA2,LGA,Total Persons,  Year 12 or equivalent,  Year 11 or equivalent,  Year 10 or equivalent,  Year 9 or equivalent,  Year 8 or below,  Did not go to school,  Not stated
  Albury,Albury,33074,14501,3660,9321,2651,1786,221,935
  Armidale Regional,Armidale Regional,16981,8760,941,4467,1257,1025,61,469
  Ballina,Ballina,28498,12870,1842,9067,2346,1472,82,820
  Balranald,Balranald,1455,459,187,397,164,172,15,58
  Bathurst Regional,Bathurst Regional,24800,11222,1587,8125,1936,1252,94,582
  Bega Valley,Bega Valley,23383,9609,2230,7275,1928,1394,53,888
  Bellingen,Bellingen,8629,3742,582,2716,808,461,25,286
  Berrigan,Berrigan,5759,1849,822,1676,652,495,22,241
  Blacktown,Blacktown,205823,119810,10116,45678,11569,11434,2765,4446
  Bland,Bland,3749,1164,255,1497,405,284,10,128
  Blayney,Blayney,4670,1771,308,1710,405,310,8,167
  Blue Mountains,Blue Mountains,51275,29690,2850,13555,2688,1243,132,1113
  Bogan,Bogan,1696,552,115,625,189,132,3,86
  Botany Bay,Botany Bay,29328,19184,1160,4915,1129,1774,536,634
  Bourke,Bourke,1471,521,125,435,179,121,16,81
  Brewarrina,Brewarrina,1022,274,79,334,152,135,7,48
  Broken Hill,Broken Hill,12100,3152,933,4468,1515,1248,39,740
  Burwood,Burwood,22688,16331,590,2579,667,1492,608,425
  Byron,Byron,20160,11796,1450,4851,921,574,50,520
  Cabonne,Cabonne,8526,3414,512,2977,765,602,31,225
  Camden,Camden,48728,24045,3059,15359,3276,1776,255,963
  Campbellto,Campbellto,98626,48519,5952,28212,7491,5046,1098,2300
  Canada Bay,Canada Bay,57914,41564,1854,8149,1816,2852,764,916
  Canterbury-Bankstown,Canterbury-Bankstown,213381,123002,8646,39799,10855,18385,7744,4951
  Carrathool,Carrathool,1814,668,144,592,168,157,10,77
  Central Coast ,Central Coast,219447,92206,14333,74473,19937,10580,717,7198
  Central Darling,Central Darling,1129,304,98,347,167,149,3,62
  Cessnock,Cessnock,35836,10438,2688,14344,4496,2558,117,1200
  Clarence Valley,Clarence Valley,34918,11356,2261,13356,3864,2636,121,1324
  Cobar,Cobar,2849,931,261,1030,273,227,13,113
  Coffs Harbour,Coffs Harbour,48314,20250,3446,15966,4307,2699,268,1397
  Coolamon,Coolamon,2699,863,178,1036,339,192,7,89
  Coonamble,Coonamble,2384,757,181,776,267,268,24,106
  Cowra,Cowra,8486,2609,528,3214,1021,779,35,311
  Cumberland,Cumberland,132018,78160,5110,22560,6325,10760,6086,3011
  Dungog,Dungog,6025,2027,389,2452,608,382,13,153
  Edward River,Edward River,5871,2110,652,1736,632,450,39,258
  Eurobodalla,Eurobodalla,26664,10624,1903,8898,2608,1663,68,908
  Fairfield,Fairfield,126154,61080,5635,22878,7723,15323,10075,3428
  Federation,Federation,8372,2693,1177,2552,873,674,24,370
  Forbes,Forbes,6162,2163,451,2159,632,488,25,236
  Georges River,Georges River,95152,63998,3366,15240,3979,5062,1732,1774
  Gilgandra,Gilgandra,2860,856,175,1047,357,304,7,112
  Glen Innes Severn,Glen Innes Severn,5781,1888,351,2112,619,573,29,212
  Goulburn Mulwaree,Goulburn Mulwaree,19374,7386,1237,6749,1856,1250,119,773
  Greater Hume Shire,Greater Hume Shire,6636,2401,667,2239,671,433,17,203
  Griffith,Griffith,16179,6081,1119,5425,1277,1453,270,555
  Gundagai,Gundagai,7668,2523,513,2847,825,651,29,289
  Gunnedah,Gunnedah,7986,2715,535,2948,802,613,44,324
  Gwydir,Gwydir,3541,1173,218,1207,379,375,7,180
  Hawkesbury,Hawkesbury,42122,17300,2868,15512,3509,1988,170,771
  Hay,Hay,1938,699,193,579,198,196,8,68
  Hilltops,Hilltops,12309,4149,875,4410,1301,1000,77,514
  Hornsby,Hornsby,91753,67059,3345,14412,2738,1874,628,1690
  Hunters Hill,Hunters Hill,8804,6567,290,1091,254,219,51,341
  Inner West,Inner West,118817,88948,4015,13076,2794,5831,1921,2224
  Inverell,Inverell,10738,3619,669,3855,1171,925,39,460
  Junee,Junee,3483,1174,251,1288,371,243,18,137
  Kempsey,Kempsey,19056,5639,1252,7148,2449,1700,71,797
  Kiama,Kiama,14576,7470,859,4401,982,521,31,308
  Ku-ring-gai,Ku-ring-gai,73486,61492,2280,6370,1257,825,318,944
  Kyogle,Kyogle,6098,1987,436,2319,605,510,24,225
  Lachlan,Lachlan,3906,1334,264,1343,418,357,26,162
  Lake Macquarie,Lake Macquarie,134305,52685,8481,48369,14002,6839,430,3501
  Lane Cove,Lane Cove,23268,19577,659,2028,360,281,95,271
  Leeton,Leeton,6933,2179,492,2695,681,570,38,278
  Lismore,Lismore,27763,11929,1865,9330,2215,1601,98,732
  Lithgow,Lithgow,13593,4277,918,5399,1451,999,46,502
  Liverpool,Liverpool,121965,67412,6059,26167,6690,9046,3923,2663
  Liverpool Plains,Liverpool Plains,5102,1580,357,1918,578,427,25,212
  Lockhart,Lockhart,2062,687,156,778,200,157,4,81
  Maitland,Maitland,49579,19013,3560,18389,4969,2436,141,1072
  Mid-Coast,Mid-Coast,64100,19991,4070,24412,8050,4771,189,2609
